Organization,Designation,Division,District,Upazila,Employee,"Employee mobile",Email,"Organization contact"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দিঘলিয়া, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,দিঘলিয়া,,,,"দিঘলিয়া, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কয়রা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,কয়রা,,,,"কয়রা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পাইকগাছা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,পাইকগাছা,,,,"পাইকগাছা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফুলতলা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,ফুলতলা,,,,"ফুলতলা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রূপসা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,রূপসা,,,,"রূপসা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তেরখাদা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,তেরখাদা,,,,"তেরখাদা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভেড়ামারা, কুষ্টিয়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,কুষ্টিয়া,ভেড়ামারা,,,,"ভেড়ামারা, কুষ্টিয়া"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,কুষ্টিয়া,ভেড়ামারা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দৌলতপুর, কুষ্টিয়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,কুষ্টিয়া,দৌলতপুর,,,,"দৌলতপুর, কুষ্টিয়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,খোকসা, কুষ্টিয়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,কুষ্টিয়া,খোক্‌সা,,,,"খোকসা, কুষ্টিয়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কুমারখালী, কুষ্টিয়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,কুষ্টিয়া,কুমারখালী,,,,"কুমারখালী, কুষ্টিয়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মিরপুর, কুষ্টিয়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,কুষ্টিয়া,মিরপুর,,,,"মিরপুর, কুষ্টিয়া"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,মাগুরা,"মাগুরা সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মোহাম্মদপুর, মাগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মাগুরা,মোহাম্মদপুর,,,,"মোহাম্মদপুর, মাগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শালিখা, মাগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মাগুরা,শালিখা,,,,"শালিখা, মাগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শ্রীপুর, মাগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মাগুরা,শ্রীপুর,,,,"শ্রীপুর, মাগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়, শ্রীপুর,শ্রীপুর, মাগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মাগুরা,শ্রীপুর,,,,"শ্রীপুর, মাগুড়া"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,মেহেরপুর,গাংনী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গাংনী, মেহেরপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মেহেরপুর,গাংনী,,,,"গাংনী, মেহেরপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মুজিবনগর, মেহেরপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,মেহেরপুর,"মজিব নগর",,,,"মুজিবনগর, মেহেরপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,নড়াইল,কালিয়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালিয়া, নড়াইল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,নড়াইল,কালিয়া,,,,"কালিয়া, নড়াইল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লোহাগড়া, নড়াইল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,নড়াইল,লোহাগড়া,,,,"লোহাগড়া, নড়াইল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আশাশুনি, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,আশাশুনি,,,,"আশাশুনি, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দেবহাটা, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,দেবহাটা,,,,"দেবহাটা, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কলারোয়া, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,কলারোয়া,,,,"কলারোয়া, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালিগঞ্জ, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,কালিগঞ্জ,,,,"কালিগঞ্জ, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালীগঞ্জ, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,কালিগঞ্জ,,,,"কালীগঞ্জ, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শ্যামনগর, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,শ্যামনগর,,,,"শ্যামনগর, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তালা, সাতক্ষীরা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,সাতক্ষীরা,তালা,,,,"তালা, সাতক্ষীরা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আমতলী, বরগুনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরগুনা,আমতলী,,,,"আমতলী, বরগুনা"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,বরগুনা,আমতলী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বামনা, বরগুনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরগুনা,বামনা,,,,"বামনা, বরগুনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বেতাগী, বরগুনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরগুনা,বেতাগী,,,,"বেতাগী, বরগুনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পাথরঘাটা, বরগুনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরগুনা,পাথরঘাটা,,,,"পাথরঘাটা, বরগুনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তালতলি, বরগুনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরগুনা,নাসিরনগর,,,,"তালতলি, বরগুনা"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,বরিশাল,আগৈলঝাড়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আগৈলঝাড়া, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,আগৈলঝাড়া,,,,"আগৈলঝাড়া, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাবুগঞ্জ, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,বাবুগঞ্জ,,,,"বাবুগঞ্জ, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাকেরগঞ্জ, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,বাকেরগঞ্জ,,,,"বাকেরগঞ্জ, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বানারীপাড়া, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,"বানারী পাড়া",,,,"বানারীপাড়া, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গৌরনদী, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,গৌরনদী,,,,"গৌরনদী, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হিজলা, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,হিজলা,,,,"হিজলা, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মেহেন্দীগঞ্জ, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,মেহেন্দীগঞ্জ,,,,"মেহেন্দীগঞ্জ, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মূলাদী, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,মুলাদী,,,,"মূলাদী, বরিশাল"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,উজিরপুর, বরিশাল","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,বরিশাল,উজিরপুর,,,,"উজিরপুর, বরিশাল"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,ভোলা,"ভোলা সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বোরহানউদ্দিন","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,বোরহানউদ্দীন,,,,বোরহানউদ্দিন
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চরফ্যাশন, ভোলা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,চরফ্যাশন,,,,"চরফ্যাশন, ভোলা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দৌলতখান, ভোলা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,"দৌলত খান",,,,"দৌলতখান, ভোলা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লালমোহন, ভোলা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,লালমোহন,,,,"লালমোহন, ভোলা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মনপুরা, ভোলা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,মনপুরা,,,,"মনপুরা, ভোলা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তজুমুদ্দিন, ভোলা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ভোলা,তজুমুদ্দিন,,,,"তজুমুদ্দিন, ভোলা"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,ঝালকাঠি,"ঝালকাঠী সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাঠালিয়া, ঝালকাঠি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ঝালকাঠি,কাঠালিয়া,,,,"কাঠালিয়া, ঝালকাঠি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নলছিটি, ঝালকাঠি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ঝালকাঠি,নলছিটি,,,,"নলছিটি, ঝালকাঠি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাজাপুর, ঝালকাঠি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,ঝালকাঠি,রাজাপুর,,,,"রাজাপুর, ঝালকাঠি"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,পটুয়াখালী,বাউফল,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাউফল, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,বাউফল,,,,"বাউফল, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দশমিনা, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,দশ্‌মিনা,,,,"দশমিনা, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দুমকি, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,দুম্‌কী,,,,"দুমকি, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গলাচিপা, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,গলাচিপা,,,,"গলাচিপা, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কলাপাড়া, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,কলাপাড়া,,,,"কলাপাড়া, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মির্জীগঞ্জ, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,,,,"মির্জীগঞ্জ, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাঙ্গাবালি, পটুয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পটুয়াখালী,Rangabali,,,,"রাঙ্গাবালি, পটুয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভান্ডারিয়া, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,ভান্ডারিয়া,,,,"ভান্ডারিয়া, পিরোজপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,বরিশাল,পিরোজপুর,ভান্ডারিয়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাউখালি, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,কাউখালী,,,,"কাউখালি, পিরোজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মঠবাড়ীয়া, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,মঠবাড়ীয়া,,,,"মঠবাড়ীয়া, পিরোজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নাজিরপুর, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,নাজিরপুর,dwe,015656565656,ss@yahoo.com,"নাজিরপুর, পিরোজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নেছারাবাদ, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,নেছারাবাদ(স্বরূপকাঠী),,,,"নেছারাবাদ, পিরোজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ইন্দুরকানি, পিরোজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",বরিশাল,পিরোজপুর,জিয়ানগর,,,,"ইন্দুরকানি, পিরোজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আজমিরীগঞ্জ, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,আজমিরিগঞ্জ,,,,"আজমিরীগঞ্জ, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আজমিরিগিঞ্জ, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,আজমিরিগঞ্জ,,,,"আজমিরিগিঞ্জ, হবিগঞ্জ"
"উপপরিচালকের কার্যালয়",উপপরিচালক,সিলেট,হবিগঞ্জ,আজমিরিগঞ্জ,,,,
"উপপরিচালকের কার্যালয়",উপপরিচালক,সিলেট,হবিগঞ্জ,আজমিরিগঞ্জ,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাহুবল, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,বাহুবল,,,,"বাহুবল, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বানিয়াচং, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,বানিয়াচং,,,,"বানিয়াচং, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চুনারুঘাট, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,চুনারুঘাট,,,,"চুনারুঘাট, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লাখাই, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,লাখাই,,,,"লাখাই, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মাধবপুর, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,মাধবপুর,,,,"মাধবপুর, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নবীগঞ্জ, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,নবীগঞ্জ,,,,"নবীগঞ্জ, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নবীগঞ্জ, হবিগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,হবিগঞ্জ,নবীগঞ্জ,,,,"নবীগঞ্জ, হবিগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বড়লেখা, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,বড়লেখা,,,,"বড়লেখা, মৌলভীবাজার"
"উপপরিচালকের কার্যালয়",উপপরিচালক,সিলেট,মৌলভীবাজার,বড়লেখা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জুড়ী, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,জুড়ী,,,,"জুড়ী, মৌলভীবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কমলগঞ্জ, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,কমলগঞ্জ,,,,"কমলগঞ্জ, মৌলভীবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কুলাউড়া, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,কুলাউড়া,,,,"কুলাউড়া, মৌলভীবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাজনগর, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,রাজনগর,,,,"রাজনগর, মৌলভীবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শ্রীমঙ্গল, মৌলভীবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,মৌলভীবাজার,শ্রীমঙ্গল,,,,"শ্রীমঙ্গল, মৌলভীবাজার"
"উপপরিচালকের কার্যালয়",উপপরিচালক,সিলেট,সুনামগঞ্জ,আমতলী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিশ্বম্ভরপুর, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,বিশ্বম্ভরপুর,,,,"বিশ্বম্ভরপুর, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জামালগঞ্জ, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,বিশ্বম্ভরপুর,,,,"জামালগঞ্জ, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ছাতক, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,ছাতক,,,,"ছাতক, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দক্ষিণ সুরমা, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,"দক্ষিন সুনামগঞ্জ",,,,"দক্ষিণ সুরমা, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দক্ষিণ সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,"দক্ষিন সুনামগঞ্জ",,,,"দক্ষিণ সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দিরাই, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,দিরাই,,,,"দিরাই, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ধর্মপাশা, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,ধর্মপাশা,,,,"ধর্মপাশা, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দোয়ারাবাজার, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,দোয়ারাবাজার,,,,"দোয়ারাবাজার, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জগন্নাথপু, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,জগন্নাথপুর,,,,"জগন্নাথপু, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শাল্লা, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,শুল্লা,,,,"শাল্লা, সুনামগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তাহেরপুর, সুনামগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সুনামগঞ্জ,তাহিরপুর,,,,"তাহেরপুর, সুনামগঞ্জ"
"উপপরিচালকের কার্যালয়",উপপরিচালক,সিলেট,সিলেট,আমতলী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বালাগঞ্জ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,বালাগঞ্জ,,,,"বালাগঞ্জ, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিয়ানীবাজার, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,"বিয়ানী বাজার",,,,"বিয়ানীবাজার, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিশ্বনাথ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,বিশ্বনাথ,,,,"বিশ্বনাথ, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কোম্পানীগঞ্জ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,কোম্পানীগঞ্জ,,,,"কোম্পানীগঞ্জ, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফেঞ্চুগঞ্জ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,ফেঞ্চুগঞ্জ,,,,"ফেঞ্চুগঞ্জ, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গোলাপগঞ্জ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,গোলাপগঞ্জ,,,,"গোলাপগঞ্জ, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গোয়াইনঘাট, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,গোয়াইনঘাট,,,,"গোয়াইনঘাট, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জৈন্তাপুর, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,জৈন্তাপুর,,,,"জৈন্তাপুর, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কানাইঘাট, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,কানাইঘাট,,,,"কানাইঘাট, সিলেট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জকিগঞ্জ, সিলেট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",সিলেট,সিলেট,জকিগঞ্জ,,,,"জকিগঞ্জ, সিলেট"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ময়মনসিংহ,জামালপুর,বকশিগঞ্জ,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বকশিগঞ্জ, জামালপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ময়মনসিংহ,জামালপুর,বকশিগঞ্জ,,,,"বকশিগঞ্জ, জামালপুর"
